mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.06975398063659669,0.013192494281267059,0.0036729812622070313,6.439484120316924e-05,0.01,l1,"{'C': 0.01, 'penalty': 'l1'}",0.8979132392414927,0.8996269627830311,0.8982243395409268,0.8983021483021483,0.9010339734121123,0.8990201326559424,0.001166001598584244,10
0.04894442558288574,0.0059436931126266145,0.00453028678894043,0.0007066303824824742,0.01,l2,"{'C': 0.01, 'penalty': 'l2'}",0.9509399358092618,0.9561128526645768,0.9513761467889909,0.9549682291187034,0.9540896126598584,0.9534973554082782,0.0020196526945862087,9
0.1686319351196289,0.030684424570947874,0.0038282394409179686,0.0006785651012393146,0.1,l1,"{'C': 0.1, 'penalty': 'l1'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.10748791694641113,0.01354609973132387,0.004824304580688476,0.0009032870233972936,0.1,l2,"{'C': 0.1, 'penalty': 'l2'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.13418989181518554,0.02603235943274373,0.003978109359741211,0.0006074524662417358,1,l1,"{'C': 1, 'penalty': 'l1'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.06765742301940918,0.0034119703572489356,0.003516387939453125,0.00012417606836924322,1,l2,"{'C': 1, 'penalty': 'l2'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.07331104278564453,0.003462872076133207,0.003723764419555664,0.00019328102336359522,10,l1,"{'C': 10, 'penalty': 'l1'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.07624893188476563,0.009752825251691943,0.003532695770263672,0.00015805396101904233,10,l2,"{'C': 10, 'penalty': 'l2'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.06485924720764161,0.00290744757604421,0.0036746501922607423,0.00021608998437741257,100,l1,"{'C': 100, 'penalty': 'l1'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.0857400894165039,0.009721145575403763,0.003391075134277344,9.081756443594736e-05,100,l2,"{'C': 100, 'penalty': 'l2'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
